Training: 2025-04-02 12:38:01,684-Speed 89.75 samples/sec   Loss 27.4641   LearningRate 0.000996   Epoch: 0   Global Step: 1000   Fp16 Grad Scale: 16384   Required: 116 hours
Training: 2025-04-02 12:38:15,979-Speed 89.55 samples/sec   Loss 27.6683   LearningRate 0.000996   Epoch: 0   Global Step: 1010   Fp16 Grad Scale: 16384   Required: 116 hours
Training: 2025-04-02 12:38:30,437-Speed 88.53 samples/sec   Loss 27.0819   LearningRate 0.000996   Epoch: 0   Global Step: 1020   Fp16 Grad Scale: 16384   Required: 116 hours
Training: 2025-04-02 12:38:44,738-Speed 89.51 samples/sec   Loss 26.9927   LearningRate 0.000996   Epoch: 0   Global Step: 1030   Fp16 Grad Scale: 16384   Required: 116 hours
Training: 2025-04-02 12:38:59,059-Speed 89.38 samples/sec   Loss 26.9611   LearningRate 0.000996   Epoch: 0   Global Step: 1040   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:39:13,502-Speed 88.63 samples/sec   Loss 27.0409   LearningRate 0.000996   Epoch: 0   Global Step: 1050   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:39:28,047-Speed 88.01 samples/sec   Loss 26.3618   LearningRate 0.000996   Epoch: 0   Global Step: 1060   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:39:42,359-Speed 89.44 samples/sec   Loss 26.2713   LearningRate 0.000996   Epoch: 0   Global Step: 1070   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:39:56,726-Speed 89.10 samples/sec   Loss 25.8704   LearningRate 0.000996   Epoch: 0   Global Step: 1080   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:40:11,120-Speed 88.93 samples/sec   Loss 26.1047   LearningRate 0.000996   Epoch: 0   Global Step: 1090   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:40:25,587-Speed 88.48 samples/sec   Loss 25.9685   LearningRate 0.000996   Epoch: 0   Global Step: 1100   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:40:39,980-Speed 88.94 samples/sec   Loss 25.2846   LearningRate 0.000996   Epoch: 0   Global Step: 1110   Fp16 Grad Scale: 8192   Required: 116 hours
